Partner Data Point File,,,,,
Start of Test Wed 21 Jul 2010 14:11:02,,,,,
Time ( min ),Stress ( psi ),Strain ( in/in ),Position ( in ),Load ( lbf ),Zone
0,7089.041,0.000358,0.0041,207,Speed 1
0.00167,7328.767,0.000369,0.0042,214,Speed 1
0.00333,7534.247,0.000377,0.0044,220,Speed 1
0.005,7739.726,0.000384,0.0045,226,Speed 1
0.00667,7910.959,0.000391,0.0046,231,Speed 1
0.00833,8047.945,0.000397,0.0047,235,Speed 1
0.01,8184.932,0.000403,0.0048,239,Speed 1
0.01167,8287.671,0.000407,0.0049,242,Speed 1
0.01333,8390.411,0.000411,0.0049,245,Speed 1
0.015,8493.151,0.000414,0.005,248,Speed 1
0.01667,8561.644,0.000417,0.0049,250,Speed 1
0.01833,8664.384,0.000419,0.0051,253,Speed 1
0.02,8732.877,0.000421,0.0051,255,Speed 1
0.02167,8801.37,0.000424,0.0052,257,Speed 1
0.02333,8869.864,0.000428,0.0052,259,Speed 1
0.025,8938.357,0.00043,0.0053,261,Speed 1
0.02667,9041.096,0.000433,0.0052,264,Speed 1
0.02833,9109.59,0.000437,0.0053,266,Speed 1
0.03,9178.083,0.000439,0.0053,268,Speed 1
0.03167,9246.576,0.000442,0.0054,270,Speed 1
0.03333,9315.069,0.000445,0.0054,272,Speed 1
0.035,9417.809,0.000448,0.0054,275,Speed 1
0.03667,9486.302,0.00045,0.0055,277,Speed 1
0.03833,9554.795,0.000453,0.0055,279,Speed 1
0.04,9657.535,0.000455,0.0055,282,Speed 1
0.04167,9726.028,0.000459,0.0055,284,Speed 1
0.04333,9794.521,0.000462,0.0055,286,Speed 1
0.045,9863.014,0.000465,0.0056,288,Speed 1
0.04667,9931.507,0.000469,0.0056,290,Speed 1
0.04833,10034.25,0.000472,0.0057,293,Speed 1
0.05,10102.74,0.000475,0.0057,295,Speed 1
0.05167,10171.23,0.000478,0.0057,297,Speed 1
0.05333,10273.97,0.00048,0.0057,300,Speed 1
0.055,10342.47,0.000483,0.0057,302,Speed 1
0.05667,10410.96,0.000484,0.0057,304,Speed 1
0.05833,10513.7,0.000487,0.0058,307,Speed 1
0.06,10582.19,0.000491,0.0058,309,Speed 1
0.06167,10650.69,0.000493,0.0058,311,Speed 1
0.06333,10753.43,0.000497,0.0059,314,Speed 1
0.065,10821.92,0.0005,0.0059,316,Speed 1
0.06667,10924.66,0.000503,0.006,319,Speed 1
0.06833,10993.15,0.000506,0.0059,321,Speed 1
0.07,11061.64,0.00051,0.006,323,Speed 1
0.07167,11130.14,0.000513,0.0061,325,Speed 1
0.07333,11232.88,0.000516,0.0061,328,Speed 1
0.075,11335.62,0.000519,0.0061,331,Speed 1
0.07667,11404.11,0.000521,0.0061,333,Speed 1
0.07833,11472.6,0.000523,0.0061,335,Speed 1
0.08,11541.1,0.000525,0.0062,337,Speed 1
0.08167,11643.84,0.00053,0.0061,340,Speed 1
0.08333,11712.33,0.000532,0.0064,342,Speed 1
0.085,11815.07,0.000536,0.0062,345,Speed 1
0.08667,11883.56,0.000539,0.0063,347,Speed 1
0.08833,11986.3,0.000542,0.0064,350,Speed 1
0.09,12054.8,0.000545,0.0064,352,Speed 1
0.09167,12123.29,0.000549,0.0063,354,Speed 1
0.09333,12226.03,0.000551,0.0065,357,Speed 1
0.095,12294.52,0.000554,0.0064,359,Speed 1
0.09667,12397.26,0.000556,0.0065,362,Speed 1
0.09833,12465.75,0.000559,0.0065,364,Speed 1
0.1,12568.49,0.000563,0.0065,367,Speed 1
0.10167,12636.99,0.000565,0.0065,369,Speed 1
0.10333,12739.73,0.000568,0.0065,372,Speed 1
0.105,12808.22,0.000571,0.0065,374,Speed 1
0.10667,12876.71,0.000575,0.0067,376,Speed 1
0.10833,12979.45,0.000578,0.0066,379,Speed 1
0.11,13047.95,0.000581,0.0067,381,Speed 1
0.11167,13150.69,0.000583,0.0067,384,Speed 1
0.11333,13219.18,0.000586,0.0067,386,Speed 1
0.115,13287.67,0.00059,0.0067,388,Speed 1
0.11667,13390.41,0.000594,0.0067,391,Speed 1
0.11833,13458.9,0.000596,0.0069,393,Speed 1
0.12,13561.64,0.000599,0.0069,396,Speed 1
0.12167,13630.14,0.000602,0.0068,398,Speed 1
0.12333,13732.88,0.000604,0.0069,401,Speed 1
0.125,13801.37,0.000607,0.0069,403,Speed 1
0.12667,13869.86,0.00061,0.0069,405,Speed 1
0.12833,13972.6,0.000613,0.0069,408,Speed 1
0.13,14041.1,0.000616,0.0069,410,Speed 1
0.13167,14143.84,0.00062,0.0071,413,Speed 1
0.13333,14212.33,0.000622,0.007,415,Speed 1
0.135,14315.07,0.000624,0.0071,418,Speed 1
0.13667,14383.56,0.000627,0.0071,420,Speed 1
0.13833,14452.06,0.00063,0.0071,422,Speed 1
0.14,14554.8,0.000633,0.0071,425,Speed 1
0.14167,14623.29,0.000636,0.0072,427,Speed 1
0.14333,14726.03,0.000639,0.0072,430,Speed 1
0.145,14794.52,0.000642,0.0072,432,Speed 1
0.14667,14897.26,0.000645,0.0072,435,Speed 1
0.14833,14965.75,0.000648,0.0072,437,Speed 1
0.15,15068.49,0.00065,0.0072,440,Speed 1
0.15167,15136.99,0.000653,0.0074,442,Speed 1
0.15333,15239.73,0.000656,0.0073,445,Speed 1
0.155,15308.22,0.000659,0.0074,447,Speed 1
0.15667,15376.71,0.000663,0.0074,449,Speed 1
0.15833,15479.45,0.000666,0.0074,452,Speed 1
0.16,15547.95,0.000669,0.0074,454,Speed 1
0.16167,15616.44,0.000672,0.0075,456,Speed 1
0.16333,15719.18,0.000675,0.0074,459,Speed 1
0.165,15821.92,0.000676,0.0076,462,Speed 1
0.16667,15890.41,0.000679,0.0076,464,Speed 1
0.16833,15958.9,0.000682,0.0075,466,Speed 1
0.17,16061.64,0.000685,0.0076,469,Speed 1
0.17167,16130.14,0.000688,0.0076,471,Speed 1
0.17333,16198.63,0.000692,0.0076,473,Speed 1
